time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 9227, 1.661320, 0, 9, 1, 2, 2
5, 9700, 1.541031, 0, 25, 1, 1, 2
10, 10548, 1.371824, 0, 12, 1, 1, 2
15, 10642, 1.355102, 0, 10, 1, 1, 2
20, 10242, 1.432630, 0, 11, 1, 1, 2
25, 10393, 1.392668, 0, 8, 1, 1, 2
30, 10243, 1.407400, 0, 8, 1, 1, 2
35, 10444, 1.402336, 0, 63, 1, 1, 2
40, 10323, 1.409861, 0, 8, 1, 1, 2
45, 10213, 1.424263, 0, 44, 1, 1, 2
50, 10413, 1.394411, 0, 11, 1, 1, 2
55, 10436, 1.391433, 0, 8, 1, 1, 2
60, 2, 2.000000, 2, 2, 2, 2, 2
